0: y0-s6, y2-s6, y4-s6, y6-s6, y8-s6, g0-s7, g2-s7, g1-s0, y1-s5, g4-s7, g3-s0, y3-s5, g6-s7, g5-s0, y5-s5, g8-s7, g7-s0, y7-s5, g9-s0, y9-s5, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, 
9020: g6-s2, b9-s3, y5-s4, b3-s1->s0, g8-s1->s2, b2-s1->s3, y3-s2->s1, b0-s3->s5, y7-s4->s6, g7-s0, y6-s1, y9-s1, b4-s1, g1-s1, b5-s1, g9-s1, b6-s1, y0-s1, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, 
9021: b2-s1->s3, y3-s2->s1, b9-s3->s1, y5-s4->s2, g6-s2, g7-s0, b0-s3->s5, y7-s4->s6, y6-s1, g8-s1->s2, y9-s1, b4-s1, g1-s1, b5-s1, g9-s1, b6-s1, y0-s1, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, b3-s1->s0, 
9022: y5-s4->s2, b0-s3->s5, g7-s0, y7-s4->s6, b3-s1->s0, g8-s1->s2, b2-s1->s3, y3-s2->s1, b9-s3->s1, g6-s2, y6-s1, y9-s1, b4-s1, g1-s1, b5-s1, g9-s1, b6-s1, y0-s1, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, 
9023: y6-s1, y9-s1, b4-s1, g1-s1, b5-s1, g9-s1, b6-s1, y0-s1, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y5-s4->s2, g7-s0, g8-s1->s2, b2-s1->s3, y3-s2->s1, b9-s3->s1, b0-s3->s5, y7-s4->s6, b3-s0, g6-s2, 
9024: b9-s3->s1, b0-s3->s5, y5-s4->s2, y7-s4->s6, g7-s0, y9-s1, g8-s2, b2-s3, y6-s1->s5, y3-s2->s1, b3-s0, b4-s1, g6-s2, g1-s1, b5-s1, g9-s1, b6-s1, y0-s1, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, 
9025: b9-s3->s1, b0-s3->s5, g7-s0, b3-s0, b2-s3, y6-s1->s5, y7-s6, g6-s2->s1, b4-s1, y9-s1->s2, g1-s1, b5-s1, g9-s1, b6-s1, y0-s1, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, g8-s2, y5-s2, 
9026: y6-s5, y7-s6, g8-s2->s7, b4-s1, y5-s2, g1-s1, b5-s1, g9-s1, b6-s1, y0-s1, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, g6-s2->s1, g7-s0, b2-s3, y9-s1->s2, b9-s3->s1, b0-s3->s5, b3-s0, 
9027: b3-s0, y7-s6, y9-s1->s2, g6-s2->s1, g8-s2->s7, b0-s3->s5, b2-s3, y6-s5, b4-s1, y5-s2, g7-s0->s1, g1-s1, b5-s1, g9-s1, b6-s1, y0-s1, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, 
9028: y7-s6, g6-s2->s1, g8-s2->s7, y5-s2, b3-s0, b0-s3->s5, b4-s1, y6-s5, g7-s0->s1, y9-s1->s2, b2-s3, g1-s1, b5-s1, g9-s1, b6-s1, y0-s1, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, 
9029: y6-s5, g7-s0->s1, b4-s1->s3, g6-s2->s1, b2-s3->s5, y7-s6->s4, b3-s0, g1-s1, b0-s5, y5-s2, b5-s1, g9-s1, b6-s1, y0-s1, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, y9-s1->s2, g8-s2->s7, 
9030: g1-s1, y9-s1->s2, b5-s1, g9-s1, b6-s1, y0-s1, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, b3-s0, y6-s5, b4-s1->s3, g6-s2->s1, g8-s2->s7, b2-s3->s5, y7-s6->s4, b0-s5, y5-s2, 
9031: b2-s3->s5, y6-s5->s1, y7-s6->s4, b3-s0, b0-s5, g6-s2->s1, y5-s2, b5-s1, g9-s1, g8-s7, y9-s1->s2, b4-s1->s3, b6-s1, g1-s1, y0-s1, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, 
9032: b0-s5, b3-s0->s1, b5-s1->s0, y9-s1->s2, b4-s1->s3, g6-s2->s1, b2-s3->s5, y6-s5->s1, y7-s6->s4, g8-s7->s2, g9-s1, g1-s1, y5-s2, b6-s1, y0-s1, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, 
9033: y9-s2, b0-s5, b3-s0->s1, b5-s1->s0, g1-s1->s2, b4-s1->s3, y5-s2->s1, b2-s3->s5, y7-s6->s4, g8-s7->s2, g9-s1, b6-s1, y0-s1, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, 
9034: y5-s2->s1, y7-s6->s4, b0-s5, b2-s3->s5, g8-s7->s2, y9-s2, b3-s0->s1, b4-s1->s3, g9-s1, b6-s1, b5-s1->s0, g1-s1->s2, y0-s1, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, 
9035: y5-s2->s1, g8-s7->s2, b5-s0, b6-s1, b4-s3, b0-s5, g9-s1->s0, g1-s1->s2, y9-s2->s4, b2-s3->s5, y7-s6->s4, y0-s1, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, 
9036: b4-s3, b0-s5, y5-s2->s1, y9-s2->s4, y7-s6->s4, g8-s7->s2, b6-s1, y0-s1, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, g1-s1->s2, b2-s3->s5, b5-s0->s1, g9-s1->s0, 
9037: y5-s2->s1, y9-s2->s4, b2-s3->s5, b6-s1, g8-s2, b4-s3, b0-s5, b5-s0->s1, g9-s1->s0, y0-s1, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, y7-s6->s4, g1-s1->s2, 
9038: y9-s2->s4, b6-s1, y0-s1, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, y7-s6->s4, g1-s1->s2, g9-s0, b5-s0->s1, y5-s2->s1, b2-s3->s5, b0-s5->s3, g8-s2, b4-s3, 
9039: b0-s5->s3, g9-s0, g1-s1->s2, b4-s3->s5, b2-s5, b6-s1, y7-s4, y5-s2->s1, y0-s1, y9-s4, g8-s2, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, 
9040: y5-s2->s1, b0-s5->s3, g9-s0, g8-s2, y7-s4, y9-s4, b2-s5, g1-s1->s2, b6-s1->s3, b4-s3->s5, y0-s1, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, 
9041: y7-s4, b2-s5, g8-s2->s1, y9-s4, g1-s2, g9-s0, b6-s1->s3, b4-s3->s5, b0-s5->s3, y0-s1, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, 
9042: g1-s2, y9-s4, g8-s2->s1, y7-s4->s2, b0-s5->s3, y8-s1, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, b4-s3->s5, g9-s0, b2-s5, y0-s1->s2, b6-s1->s3, 
9043: y7-s4->s2, g9-s0, b0-s5->s3, y8-s1, y9-s4, y0-s1->s2, b6-s1->s3, g1-s2->s7, b4-s3->s5, b2-s5, g3-s1, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s2->s1, 
9044: y0-s1->s2, y8-s1->s5, b4-s3->s5, y7-s4->s2, g9-s0, b0-s5->s3, g3-s1, y9-s4, b6-s1->s3, g8-s2->s1, g1-s2->s7, b2-s5, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, 
9045: y0-s1->s2, y8-s1->s5, g8-s2->s1, b4-s3->s5, y7-s4->s2, b0-s5->s3, g9-s0, g3-s1, b2-s5, g0-s1, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, y9-s4->s6, b6-s1->s3, g1-s2->s7, 
9046: b4-s3->s5, y9-s4->s6, g9-s0, y0-s1->s2, g3-s1, y8-s5, g8-s2->s1, g1-s2->s7, b0-s5->s3, g0-s1, y7-s2, b6-s3, b2-s5, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, 
9047: y8-s5, b6-s3, g9-s0->s1, y0-s1->s2, g8-s2->s1, g1-s2->s7, b4-s3->s5, y9-s4->s6, b0-s5->s3, g0-s1, g3-s1, y7-s2, b2-s5, b8-s1, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, 
9048: g9-s0->s1, g0-s1->s0, y0-s1->s2, g8-s2->s1, b4-s3->s5, y9-s4->s6, b2-s5->s3, b8-s1, g3-s1, y7-s2, b6-s3, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, y8-s5, b0-s3, g1-s7, 
9049: y0-s1->s2, y9-s4->s6, g3-s1, b4-s5, y8-s5->s1, g1-s7->s2, b8-s1, g0-s1->s0, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, y7-s2->s1, b2-s5->s3, g9-s0->s1, b6-s3->s5, b0-s3, 
9050: y9-s4->s6, y8-s5->s1, y0-s2, b6-s3->s5, b8-s1->s3, b4-s5, b2-s5->s3, g1-s7->s2, y1-s1, b0-s3, g0-s1->s0, g3-s1->s2, y7-s2->s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, 
9051: y7-s2->s1, b6-s3->s5, g0-s0, b0-s3->s1, y9-s4->s6, g1-s7->s2, y1-s1, y0-s2, b4-s5, g3-s1->s2, b8-s1->s3, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b2-s5->s3, 
9052: b4-s5, g3-s1->s2, b8-s1->s3, y7-s2->s1, y0-s2->s4, b0-s3->s1, b2-s5->s3, g1-s7->s2, g0-s0, y1-s1, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b6-s3->s5, y9-s4->s6, 
9053: y7-s2->s1, y0-s2->s4, b0-s3->s1, b6-s3->s5, b2-s5->s3, g0-s0, b4-s5, y1-s1, g3-s1->s2, b8-s1->s3, y9-s4->s6, g1-s7->s2, b7-s1, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, 
9054: g1-s2, g3-s1->s2, b8-s1->s3, y1-s1->s5, y7-s2->s1, y0-s2->s4, y9-s4->s6, b2-s5->s3, g0-s0, b7-s1, b4-s5, b0-s3->s1, b6-s3->s5, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, 
9055: y9-s6, b8-s1->s3, y1-s1->s5, y7-s2->s1, y0-s2->s4, b0-s3->s1, g0-s0, b7-s1, g1-s2, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b6-s3->s5, b4-s5, g3-s1->s2, b2-s5->s3, 
9056: y1-s5, y9-s6, b2-s5->s3, b4-s5, b0-s3->s1, g5-s1, b8-s3, y0-s4, g0-s0->s1, b7-s1->s0, g3-s1->s2, y7-s2->s1, b6-s3->s5, g2-s1, g1-s2, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, 
9057: b8-s3, y0-s4, y1-s5, g0-s0->s1, b7-s1->s0, g3-s1->s2, g1-s2->s1, b2-s5->s3, y9-s6->s4, g5-s1, b4-s5, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, b6-s3->s5, 
9058: g0-s0->s1, g1-s2->s1, b4-s5->s3, y1-s5, y9-s6->s4, b8-s3, b6-s5, y0-s4->s6, b2-s3, b7-s1->s0, g3-s2, g5-s1, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, 
9059: g5-s1->s2, y1-s5->s1, b7-s0, b4-s5->s3, y9-s6->s4, g2-s1, b2-s3, b6-s5, g1-s2->s1, g3-s2->s7, b8-s3->s5, y0-s4->s6, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, 
9060: b6-s5, g5-s1->s2, g1-s2->s1, g3-s2->s7, b8-s3->s5, y0-s4->s6, b4-s5->s3, y9-s6->s4, g2-s1, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, b7-s0, b2-s3, y1-s5->s1, 
9061: b4-s5->s3, b7-s0, g2-s1, g1-s2->s1, g3-s2->s7, b2-s3->s1, b8-s3->s5, y0-s4->s6, b6-s5, b1-s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, y9-s6->s4, g5-s1->s2, 
9062: g1-s2->s1, b2-s3->s1, b8-s3->s5, y0-s4->s6, b4-s5->s3, b7-s0, b1-s1, g2-s1->s0, g5-s1->s2, b6-s5, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, y9-s6->s4, g3-s2->s7, 
9063: g5-s1->s2, g3-s2->s7, b7-s0, b2-s3->s1, b8-s3->s5, y0-s4->s6, y9-s6->s4, b1-s1, g2-s1->s0, g1-s2->s1, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, b4-s5->s3, b6-s5, 
9064: b7-s0, g2-s1->s0, g1-s2->s1, b8-s3->s5, y0-s4->s6, b4-s5->s3, b6-s5, y9-s6->s4, b2-s3->s1, b1-s1, g3-s7, g5-s1->s2, y2-s1, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, 
9065: b7-s0->s1, b8-s3->s5, y0-s4->s6, b4-s5->s3, y9-s6->s4, g3-s7->s2, g2-s0, y2-s1, b6-s5, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, g1-s1, b1-s1->s3, b2-s3->s1, g5-s1->s2, 
9066: b2-s3->s1, b8-s3->s5, b4-s5->s3, g3-s7->s2, g2-s0, b7-s0->s1, g5-s1->s2, b6-s5, y2-s1, y9-s6->s4, y0-s4->s6, g4-s1, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, g1-s1, b1-s1->s3, 
9067: b1-s1->s3, g2-s0, b8-s3->s5, y0-s4->s6, b4-s5->s3, g3-s7->s2, g4-s1, g5-s2, y9-s4, b7-s0->s1, y2-s1->s2, b6-s5, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, g1-s1, b2-s1, 
9068: b8-s5, g2-s0, y0-s6, y2-s1->s2, b1-s1->s3, g5-s2->s7, b6-s5->s3, g3-s7->s2, g4-s1, b4-s3, y9-s4, y4-s1, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, g1-s1, b2-s1, b7-s1, 
9069: y0-s6, y2-s1->s2, g5-s2->s7, b4-s3->s1, g3-s7->s2, g4-s1, y4-s1, b1-s1->s3, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, g1-s1, b2-s1, b7-s1, g2-s0, y9-s4, b8-s5, b6-s5->s3, 
9070: b8-s5, y0-s6, g3-s2, b4-s3->s1, g2-s0->s1, g4-s1->s0, y2-s1->s2, b1-s1->s3, g5-s2->s7, b6-s5->s3, y4-s1, y9-s4, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, g1-s1, b2-s1, b7-s1, 
9071: g2-s0->s1, b4-s3->s1, b8-s5, b6-s5->s3, y4-s1, b1-s3, y9-s4, y0-s6, y2-s1->s2, g3-s2->s1, g5-s2->s7, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, g1-s1, b2-s1, b7-s1, g4-s1->s0, 
9072: g2-s0->s1, g3-s2->s1, b4-s3->s1, b1-s3->s5, b6-s5->s3, b8-s5, g4-s1->s0, g5-s2->s7, y4-s1, y9-s4->s2, y3-s1, y2-s1->s2, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, g1-s1, b2-s1, b7-s1, y0-s6->s4, 
9073: y2-s1->s2, g3-s2->s1, b4-s3->s1, b1-s3->s5, y9-s4->s2, b6-s5->s3, y0-s6->s4, g4-s0, y4-s1, b8-s5, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, g1-s1, b2-s1, b7-s1, g2-s1, g5-s7, 
9074: g3-s2->s1, b4-s3->s1, b1-s3->s5, b6-s5->s3, g5-s7->s2, b8-s5, y0-s6->s4, g4-s0, y4-s1, y2-s1->s2, y9-s4->s2, y3-s1, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, g1-s1, b2-s1, b7-s1, g2-s1, 
9075: y2-s1->s2, g3-s2->s1, b1-s3->s5, y9-s4->s2, b6-s5->s3, y0-s6->s4, g5-s7->s2, g4-s0, y3-s1, y4-s1, b8-s5, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, g1-s1, b2-s1, b7-s1, g2-s1, b4-s1, 
9076: g5-s7->s2, g4-s0, b9-s1, y2-s2, y4-s1->s2, y3-s1->s5, g3-s2->s1, b1-s3->s5, b6-s5->s3, y0-s6->s4, g7-s1, y9-s2, b8-s5, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, g1-s1, b2-s1, b7-s1, g2-s1, b4-s1, 
9077: y4-s1->s2, y0-s6->s4, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, g1-s1, b2-s1, b7-s1, g2-s1, b4-s1, g5-s7->s2, y2-s2, y3-s1->s5, b6-s5->s3, y9-s2, b8-s5, g3-s2->s1, g4-s0, b1-s3->s5, 
9078: b8-s5->s3, y0-s6->s4, g4-s0, b6-s3, y3-s5, y4-s1->s2, g3-s2->s1, y2-s2->s4, y9-s2, g5-s7->s2, b1-s3->s5, b9-s1, g7-s1, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, g1-s1, b2-s1, b7-s1, g2-s1, b4-s1, 
9079: b6-s3, b9-s1->s0, b1-s3->s5, b8-s5->s3, g4-s0, y3-s5, g7-s1, y9-s2, y4-s1->s2, y2-s2->s4, y0-s6->s4, g6-s1, g5-s2, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, g1-s1, b2-s1, b7-s1, g2-s1, b4-s1, g3-s1, 
9080: g5-s2, g4-s0->s1, y4-s1->s2, y9-s2->s1, y2-s2->s4, b6-s3->s1, b1-s3->s5, b8-s5->s3, y0-s6->s4, y3-s5, g7-s1, b9-s1->s0, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, g1-s1, b2-s1, b7-s1, g2-s1, b4-s1, g3-s1, 
9081: g5-s2, y3-s5, y4-s1->s2, y0-s6->s4, g7-s1, b1-s5, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, g1-s1, b2-s1, b7-s1, g2-s1, b4-s1, g3-s1, b6-s3->s1, g4-s0->s1, b9-s1->s0, y9-s2->s1, y2-s2->s4, b8-s5->s3, 
9082: b9-s0, g7-s1, y0-s4, b1-s5, g4-s0->s1, y4-s1->s2, y9-s2->s1, b6-s3->s1, y3-s5->s1, b8-s5->s3, g6-s1, y2-s4, g5-s2, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, g1-s1, b2-s1, b7-s1, g2-s1, b4-s1, g3-s1, 
9083: y0-s4, b1-s5, y4-s1->s2, y9-s2->s1, b6-s3->s1, y3-s5->s1, b8-s5->s3, b9-s0, g7-s1, y2-s4, g5-s2, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, g1-s1, b2-s1, b7-s1, g2-s1, b4-s1, g3-s1, g4-s1, 
9084: b1-s5, g6-s1, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, g1-s1, b2-s1, b7-s1, g2-s1, b4-s1, g3-s1, g4-s1, y3-s1, b9-s0, y4-s2, y0-s4, g7-s1->s2, y9-s2->s1, b6-s3->s1, b8-s5->s3, y2-s4, g5-s2, 
9085: b8-s5->s3, b9-s0, y2-s4, y9-s2->s1, g5-s2, b1-s5, b6-s3->s1, y0-s4->s2, g6-s1, y4-s2, g7-s1->s2, y6-s1, b3-s1, b5-s1, y5-s1, g8-s1, g9-s1, y8-s1, b0-s1, y7-s1, g0-s1, y1-s1, g1-s1, b2-s1, b7-s1, g2-s1, b4-s1, g3-s1, g4-s1, y3-s1, 
