0: g0-s1, y1-s2, b0-s0, g1-s3, y0-s3, b1-s3, 
926: b1-s0, y0-s2, g1-s3->s0, b0-s0, y1-s2, g0-s0, 
927: y1-s2, y0-s2->s1, b1-s0, b0-s0, g0-s0, g1-s0, 
928: y1-s2, y0-s2->s1, b1-s0, b0-s0, g0-s0, g1-s0, 
929: y1-s2, b1-s0->s2, y0-s2->s1, b0-s0, g0-s0, g1-s0, 
930: y1-s2, b1-s0->s2, b0-s0, g0-s0, g1-s0, y0-s2->s1, 
931: g0-s0, y0-s1, y1-s2, b1-s0->s2, g1-s0, b0-s0, 
932: g1-s0, y0-s1, b1-s2, b0-s0->s2, g0-s0->s3, y1-s2->s1, 
933: b1-s2, y0-s1->s3, y1-s2->s1, g1-s0, b0-s0->s2, g0-s0->s3, 
934: y1-s2->s1, g1-s0, b1-s2, y0-s3, g0-s0->s3, b0-s2, 
935: y0-s3, y1-s2->s1, g1-s0, b1-s2, g0-s3, b0-s2, 
936: g1-s0->s1, y1-s1, b0-s2, y0-s3, g0-s3, b1-s2->s3, 
937: b0-s2, b1-s2->s3, y0-s3, g0-s3, y1-s1, g1-s1, 
938: b0-s2, g0-s3, y1-s1->s3, b1-s3, y0-s3->s1, g1-s1, 
939: b0-s2->s3, g1-s1, g0-s3, y0-s1, b1-s3, y1-s3, 
940: g1-s1->s0, b0-s2->s3, y0-s1, g0-s3, b1-s3, y1-s3, 
941: b1-s3, g0-s3->s0, y0-s1, y1-s3, b0-s3, g1-s0, 
942: b1-s3, y1-s3, b0-s3, g1-s0->s3, g0-s3->s0, y0-s1, 
943: g1-s0->s3, y0-s1->s2, g0-s3->s0, b1-s3, y1-s3, b0-s3, 
944: g1-s0->s3, y0-s1->s2, g0-s0, b1-s3, y1-s3, b0-s3, 
945: y0-s1->s2, b1-s3->s2, g0-s0, y1-s3, b0-s3, g1-s3, 
946: y0-s1->s2, b1-s3->s2, g0-s0, y1-s3, b0-s3, g1-s3, 
947: g0-s0, b1-s2, y0-s2, y1-s3, b0-s3, g1-s3, 
948: g0-s0, b1-s2, y1-s3, y0-s2, b0-s3, g1-s3, 
949: g0-s0->s1, b1-s2, y0-s2, y1-s3->s1, b0-s3, g1-s3, 
950: b1-s2, b0-s3, y0-s2, g1-s3, g0-s1, y1-s1, 
951: b1-s2, g0-s1, y0-s2, y1-s1, b0-s3, g1-s3, 
952: g1-s3, b0-s3->s2, g0-s1, b1-s2, y1-s1, y0-s2, 
953: g1-s3, g0-s1->s0, b1-s2->s0, b0-s3->s2, y1-s1, y0-s2, 
954: y0-s2, b1-s2->s0, b0-s2, g0-s0, y1-s1->s2, g1-s3->s0, 
955: y0-s2, y1-s1->s2, b0-s2, g0-s0, g1-s3->s0, b1-s0, 
956: y0-s2, y1-s1->s2, g1-s3->s0, g0-s0, b0-s2, b1-s0, 
957: y0-s2, y1-s1->s2, b0-s2, g0-s0, b1-s0, g1-s0, 
958: g0-s0, b1-s0, g1-s0, y0-s2, b0-s2, y1-s2, 
959: g0-s0->s3, b1-s0, g1-s0, b0-s2, y1-s2, y0-s2->s1, 
960: b1-s0, b0-s2, g0-s0->s3, y0-s2->s1, g1-s0, y1-s2, 
961: y0-s2->s1, b1-s0, g1-s0, b0-s2, y1-s2, g0-s0->s3, 
962: b1-s0, g1-s0, y1-s2, g0-s3, y0-s2->s1, b0-s2->s0, 
963: b1-s0, g1-s0, y1-s2, g0-s3, y0-s1, b0-s2->s0, 
964: y1-s2->s1, g1-s0, g0-s3, b1-s0->s2, b0-s0, y0-s1, 
965: y0-s1->s3, g1-s0, b0-s0, g0-s3, y1-s2->s1, b1-s0->s2, 
966: y1-s2->s1, g0-s3->s0, g1-s0, b1-s2, y0-s3, b0-s0, 
967: b1-s2, g1-s0, y0-s3, y1-s2->s1, g0-s3->s0, b0-s0, 
968: y1-s1, b1-s2, g0-s3->s0, g1-s0, b0-s0, y0-s3, 
969: y1-s1, b1-s2, y0-s3, g1-s0->s1, b0-s0, g0-s0, 
970: y1-s1, b1-s2, y0-s3->s1, b0-s0, g1-s1, g0-s0, 
971: b1-s2, g1-s1, y1-s1->s3, y0-s1, b0-s0, g0-s0, 
972: b1-s2->s3, b0-s0, g0-s0, y1-s3, g1-s1, y0-s1, 
973: y1-s3, b1-s2->s3, b0-s0, g1-s1, g0-s0, y0-s1, 
974: b1-s3, y1-s3->s1, g1-s1->s0, y0-s1, b0-s0, g0-s0, 
975: y0-s1, b0-s0, y1-s1, g0-s0, g1-s0, b1-s3->s2, 
976: b0-s0, g0-s0, g1-s0, b1-s3->s2, y0-s1, y1-s1, 
977: b0-s0->s2, y0-s1->s2, g0-s0, y1-s1, g1-s0, b1-s2, 
978: b1-s2, y0-s1->s2, g0-s0, g1-s0, y1-s1, b0-s0->s2, 
979: y0-s1->s2, y1-s1, g0-s0, g1-s0, b1-s2, b0-s2, 
980: g0-s0, g1-s0, y0-s1->s2, y1-s1, b1-s2, b0-s2, 
981: y0-s1->s2, y1-s1, g0-s0, g1-s0, b1-s2, b0-s2, 
982: g0-s0, y1-s1->s2, g1-s0, b1-s2, b0-s2, y0-s2, 
983: y1-s1->s2, b1-s2->s0, g0-s0, g1-s0, b0-s2, y0-s2, 
984: g0-s0->s1, y1-s1->s2, b1-s2->s0, g1-s0, b0-s2, y0-s2, 
985: y1-s1->s2, g1-s0, b0-s2, b1-s0, y0-s2, g0-s1, 
986: g1-s0, g0-s1, b0-s2, b1-s0, y0-s2, y1-s2, 
987: g1-s0, g0-s1, b0-s2, b1-s0, y0-s2, y1-s2, 
988: g1-s0->s3, g0-s1->s0, b0-s2->s3, b1-s0, y0-s2, y1-s2, 
989: y0-s2, y1-s2, b0-s2->s3, g1-s0->s3, b1-s0, g0-s0, 
990: y0-s2, b0-s3, b1-s0->s2, g1-s0->s3, g0-s0, y1-s2, 
991: b0-s3, b1-s0->s2, y0-s2->s1, g0-s0, y1-s2, g1-s3, 
992: y0-s2->s1, g0-s0, y1-s2, b0-s3, b1-s2, g1-s3, 
993: y0-s2->s1, g0-s0, y1-s2, b1-s2, b0-s3, g1-s3, 
994: g0-s0, y0-s2->s1, b0-s3->s2, b1-s2, g1-s3, y1-s2, 
995: b1-s2, g0-s0, g1-s3, y0-s2->s1, b0-s3->s2, y1-s2, 
996: g0-s0, y0-s1, b1-s2, g1-s3, y1-s2->s1, b0-s2, 
997: b1-s2->s3, y0-s1, g0-s0, b0-s2, g1-s3, y1-s2->s1, 
998: g0-s0->s3, b1-s2->s3, y1-s2->s1, g1-s3->s0, y0-s1, b0-s2, 
999: b1-s3, g0-s0->s3, y0-s1->s3, y1-s2->s1, g1-s3->s0, b0-s2, 
Averge waiting times:
green: 2 trains -> 9.95812, 42, 1
yellow: 2 trains -> 9.80512, 30, 1
blue: 2 trains -> 10.3349, 36, 1
